Regulator Effects for My Projects->June2014->ProprietaryMultipleRankDataSet - 2014-04-29 10:39 AM
Consistency Score	Node Total	Regulator Total	Regulators	Target Total	Target Molecules in Dataset	Disease & Function Total	Diseases & Functions	Known Regulator-Disease/Function Relationships
2.714	13	1	paclitaxel	11	BAX,BCL2,CDKN1A,DDIT3,FAS,G0S2,IER3,JUN,MCL1,MYC,NFKBIA	1	apoptosis of cervical cancer cell lines	100% (1/1)	
2.714	13	1	paclitaxel	11	BAX,BCL2,CDKN1A,DDIT3,FAS,G0S2,IER3,JUN,MCL1,MYC,NFKBIA	1	cell death of cervical cancer cell lines	100% (1/1)	
2.530	12	1	TGFA	10	CDKN1A,CTGF,CTNNB1,DDX5,FOS,FOSL2,GSTP1,PRNP,VEGFA,WNT5A	1	organismal death	100% (1/1)	
2.500	6	1	TGFB3	4	CDKN1A,FOS,SMAD7,VEGFA	1	perinatal death	100% (1/1)	
2.475	10	1	sodium arsenite	8	BAX,BCL2,CDKN1A,DDIT3,FOS,GADD45A,JUN,RAF1	1	cell death of cervical cancer cell lines	0% (0/1)	
2.475	10	1	GAST	8	CTNNB1,EGR1,JUN,PIK3R1,RAC1,RHOA,SRC,SRSF2	1	apoptosis of fibroblast cell lines	0% (0/1)	
2.449	8	1	lisinopril	6	ACE,FOS,JUN,PDGFA,PDGFRB,VEGFA	1	organismal death	0% (0/1)	
2.449	8	1	Pdgf (complex)	6	BAX,BCL2,CDKN1A,FOS,JUN,MYC	1	apoptosis of cervical cancer cell lines	0% (0/1)	
2.449	8	1	F2	6	COL4A1,PDGFA,PDGFB,RHOA,TGFB3,VEGFA	1	Bleeding	100% (1/1)	
2.333	11	1	CD 437	9	BAX,CDKN1A,FAS,FTH1,JUN,MYC,NFKBIA,PIN1,YWHAZ	1	cell death of fibroblast cell lines	0% (0/1)	
2.333	11	1	nitric oxide	9	BAX,BCL2,DDIT3,FAS,FOS,IER3,MYC,NFE2L2,TFRC	1	apoptosis of kidney cell lines	0% (0/1)	
2.309	14	1	okadaic acid	12	BCL6,BNIP3,CCND2,CCNG2,EGR1,FOS,JUN,JUNB,KLF4,MYC,ODC1,SRSF3	1	proliferation of tumor cell lines	100% (1/1)	
