Regulator Effects for My Projects->June2014->ProprietaryMultipleRankDataSet - 2014-04-29 10:39 AM
Consistency Score	Node Total	Regulator Total	Regulators	Target Total	Target Molecules in Dataset	Disease & Function Total	Diseases & Functions	Known Regulator-Disease/Function Relationships
17.454	42	12	5-hydroxytryptamine,amino acids,capsaicin,CSF2RA,CSF2RB,gentamicin,IGFBP5,phenylephrine,quinolinic acid,ST3-Hel2A-2,TCF,vitamin K3	26	BAX,BCL2,CAT,DDIT3,ENPP2,FAS,FGF2,FOS,FST,GADD45A,HSPA5,IDH1,IER3,JUN,LMO2,MYC,NR3C1,NR4A1,PDK4,PPARG,RHOA,RUNX2,SQSTM1,TNFRSF1A,TSPAN8,ZFP36L1	4	apoptosis of cervical cancer cell lines,apoptosis of hepatoma cell lines,formation of embryonic tissue,liver cancer	2% (1/48)
15.492	26	7	2-amino-5-phosphonovaleric acid,6-cyano-7-nitroquinoxaline-2,3-dione,acetic acid,CSF2RA,CSF2RB,EPHB1,okadaic acid	15	BCL2,BCL6,BNIP3,CCND2,CCNG2,CXCL2,EGR1,FOS,JUN,JUNB,KLF4,MYC,ODC1,SAA1,SRSF3	4	angiogenesis,proliferation of muscle cells,proliferation of tumor cell lines,vasculogenesis	21% (6/28)
15.119	19	12	A23187,BMP4,F2,IL1B,IL6,IRF8,lipopolysaccharide,LY294002,Nfat (family),NOG,PP2/AG1879 tyrosine kinase inhibitor,sulforafan	7	FAS,HMOX1,LIF,MAFB,MT1E,MT1H,RELA	2	apoptosis of renal tubule,bleeding of liver	4% (1/24)
13.868	22	5	CSF2RA,CSF2RB,diazoxide,formaldehyde,TCF	13	BAX,BCL2,CEACAM1,EGR1,FOS,ID3,IRS1,JUN,JUNB,LMO2,MYC,ODC1,SAA1	4	angiogenesis,apoptosis of fibroblast cell lines,proliferation of muscle cells,vasculogenesis	10% (2/20)
13.145	44	12	26s Proteasome,5-fluorouracil,celecoxib,fludarabine,Igm,nitric oxide,NRG1,paclitaxel,Pdgf (complex),phencyclidine,sodium arsenite,UCN-01	30	ABCC1,BAG1,BAX,BCL2,CDKN1A,DDIT3,FAS,FOS,FOXO1,G0S2,GADD45A,HSPA5,IER3,IL18,JUN,KRAS,MCL1,MYC,NFE2L2,NFKBIA,NR3C1,NR4A1,RAF1,RGS4,RIPK1,SGK1,TFRC,TNFRSF1B,TP53INP1,TRAF1	2	apoptosis of cervical cancer cell lines,apoptosis of kidney cell lines	25% (6/24)
12.969	17	15	1,4-bis[2-(3,5-dichloropyridyloxy)]benzene,A23187,BMP4,BRCA1,F2,IFNG,IL1B,IL6,lipopolysaccharide,Nfat (family),NOG,phorbol myristate acetate,PP2/AG1879 tyrosine kinase inhibitor,SPDEF,TNF	5	FAS,LIF,MT1E,MT1H,RELA	1	bleeding of liver	7% (1/15)
11.502	44	9	DDX5,di(2-ethylhexyl) phthalate,F7,methylnitronitrosoguanidine,mitomycin C,NR1I3,PRKCB,TOPBP1,WR 1065	30	ABL1,BAX,CAT,CCND2,CDKN1A,CTGF,CTNNB1,CYR61,EGR1,FAS,FOS,GADD45A,HBEGF,JUN,KLF10,LIF,MYC,NEDD4,NPPA,PDE3B,POR,PPARGC1A,PPP1R15A,PTPN11,RELA,TCIRG1,TNFRSF1A,VEGFA,ZFP36,ZFP36L1	5	apoptosis of cervical cancer cell lines,apoptosis of fibroblast cell lines,Growth Failure,morphology of cardiovascular system,morphology of connective tissue	7% (3/45)
10.956	42	7	amino acids,EGR2,LIF,lysophosphatidic acid,quinolinic acid,TCF,vitamin K3	31	ANKRD1,BAX,BCL2,BCL6,CAT,CDKN1A,CTGF,CYR61,DDIT3,FAS,FGF2,FOS,HBEGF,HEY1,HOXB3,HSPA5,IGF2,IL6R,JUN,MAP2,MYC,NFKB1,PDGFRB,PPARG,PPP2CA,RALA,SMAD1,TSPAN8,VEGFA,WNT5A,ZBTB16	4	apoptosis of cervical cancer cell lines,apoptosis of hepatoma cell lines,development of connective tissue,liver cancer	7% (2/28)
10.783	32	11	5-azacytidine,bexarotene,cadmium,ETS2,homocysteine,mycophenolic acid,norepinephrine,PDGF BB,SU6656,thapsigargin,tributyrin	19	ADRA1D,AR,ATF3,CDKN1A,CSF3,CYR61,DUSP1,FLT1,GDNF,GSTP1,HMOX1,MT1E,MT1H,NPPA,PDE4B,PDE4D,PPARG,SMURF2,VEGFA	2	cell death of renal tubule,failure of kidney	9% (2/22)
9.430	21	6	4-methylnitrosoamino-1-(3-pyridinyl)-1-butanone,DACH1,L-glutamic acid,leukotriene D4,pCPT-cAMP,SKF-38393	13	ADAMTS1,BCL2,CDKN1A,CTNNB1,CYR61,FGF2,FOS,HBEGF,JUN,KLF4,NR4A3,PDGFRB,RHOA	2	formation of embryonic tissue,proliferation of breast cancer cell lines	0% (0/12)
